combination,alpha,block_size,clean_ber,clean_snr,attack_success_rate,avg_attack_ber
1,0.01,"(12, 12)",0.53125,-3.0045990777396803,0.0,0.5178571428571429
2,0.02,"(12, 12)",0.53125,-3.0100191063444486,0.0,0.515625
3,0.05,"(12, 12)",0.53125,-3.0469418417710106,0.0,0.5178571428571429
4,0.1,"(12, 12)",0.5625,-3.1751537559000353,0.0,0.53125
5,0.15,"(12, 12)",0.5625,-3.3801316109032253,0.0,0.53125
