file,output,alpha,block_size,threshold,ber,snr,embedded_bits,extracted_bits,ecc,reference_extract
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0009_watermarked.flac,watermarked_audio/2412-153948-0009_watermarked_watermarked.wav,0.02,"(16, 16)",2.0737433,0.0,65.29397159704223,1101000000100101010000101010011000011101000110101111010001011000,1101000000100101010000101010011000011101000110101111010001011000,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0010.flac,watermarked_audio/2412-153948-0010_watermarked.wav,0.01,"(8, 8)",0.29624778,0.015625,38.37482392648203,1000111100111011111111100101100111110010100101110100001110001110,1000111100111011111111100100100111110010100101110100001110001110,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0010_watermarked.flac,watermarked_audio/2412-153948-0010_watermarked_watermarked.wav,0.005,"(8, 8)",0.2221286,0.015625,66.10373910262508,0100101000011010111100111000111011101010111001000000010000000010,0100101000011010111100111001111011101010111001000000010000000010,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0011.flac,watermarked_audio/2412-153948-0011_watermarked.wav,0.005,"(8, 8)",0.33734846,0.0,53.22199389009917,0000000111111100101101110000011000000110111000110000011101000110,0000000111111100101101110000011000000110111000110000011101000110,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0011_watermarked.flac,watermarked_audio/2412-153948-0011_watermarked_watermarked.wav,0.005,"(8, 8)",0.33771425,0.0,61.03956623128848,1110100111001000100010100100100110000001101010011011001110111001,1110100111001000100010100100100110000001101010011011001110111001,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0012.flac,watermarked_audio/2412-153948-0012_watermarked.wav,0.005,"(16, 16)",0.9712177,0.0,57.50614854038089,1000011100011010110111010110101101011101111010011110111001001000,1000011100011010110111010110101101011101111010011110111001001000,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0012_watermarked.flac,watermarked_audio/2412-153948-0012_watermarked_watermarked.wav,0.005,"(16, 16)",0.97108424,0.0,68.92782790369009,1111001100011111011100011001101000110000011110001111101110110110,1111001100011111011100011001101000110000011110001111101110110110,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0013.flac,watermarked_audio/2412-153948-0013_watermarked.wav,0.01,"(8, 8)",0.16800225,0.0,44.64699513110121,0000000001010001001010001010001011000111000000101111011110100110,0000000001010001001010001010001011000111000000101111011110100110,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0013_watermarked.flac,watermarked_audio/2412-153948-0013_watermarked_watermarked.wav,0.005,"(8, 8)",0.1738517,0.0,68.08810335086386,0110111100100011100111010111110010011010111010101100000111101001,0110111100100011100111010111110010011010111010101100000111101001,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0014.flac,watermarked_audio/2412-153948-0014_watermarked.wav,0.005,"(16, 16)",1.1618125,0.0,44.69599354669853,1001101010000101110000110101000110100011010011010000111000010011,1001101010000101110000110101000110100011010011010000111000010011,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0014_watermarked.flac,watermarked_audio/2412-153948-0014_watermarked_watermarked.wav,0.005,"(8, 8)",0.8848512,0.015625,64.65572002417541,1011110011001111000011000100111110001110111001101011000011010011,1011110011001111000011000100111110001110111001101011010011010011,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0015.flac,watermarked_audio/2412-153948-0015_watermarked.wav,0.005,"(16, 16)",0.6821146,0.0,41.77060936687704,0110010111101110111101001111100010100000011101101001100111101000,0110010111101110111101001111100010100000011101101001100111101000,True,True
LibriSpeech 2/dev-clean-2/2412/153948/2412-153948-0015_watermarked.flac,watermarked_audio/2412-153948-0015_watermarked_watermarked.wav,0.005,"(16, 16)",0.5779793,0.0,69.75520863660064,0111010001100100001010010001100101101110001000111000100110101110,0111010001100100001010010001100101101110001000111000100110101110,True,True
